State,Year,Jan.,Feb.,Mar.,Apr.,May,June,July,Aug.,Sept.,Oct.,Nov.,Dec.,Avg UI
New Jersey,2015,6.3,6.4,6.5,6.5,6.5,6.1,5.9,5.7,5.6,5.4,5.3,5.1,5.9
New Mexico,2015,5.9,6.0,6.1,6.2,6.2,6.4,6.5,6.7,6.8,6.8,6.8,6.7,6.4
New York,2015,5.8,5.8,5.7,5.7,5.7,5.5,5.4,5.2,5.1,4.8,4.8,4.8,5.4
North Carolina,2015,5.4,5.3,5.4,5.5,5.7,5.8,5.9,5.9,5.8,5.7,5.7,5.6,5.6
North Dakota,2015,2.8,2.9,3.1,3.1,3.1,3.1,3.0,2.9,2.8,2.8,2.7,2.7,2.9
Ohio,2015,5.1,5.1,5.1,5.2,5.2,5.2,5.0,4.7,4.5,4.4,4.5,4.7,4.9
Oklahoma,2015,3.9,3.9,3.9,4.1,4.3,4.5,4.5,4.6,4.4,4.3,4.2,4.1,4.2
Oregon,2015,6.3,5.8,5.4,5.2,5.3,5.5,5.9,6.1,6.2,6.0,5.7,5.4,5.7
Pennsylvania,2015,5.1,5.2,5.3,5.3,5.4,5.4,5.4,5.4,5.3,5.1,5.0,4.8,5.2
Puerto Rico,2015,12.4,11.6,11.8,12.2,12.4,12.6,11.9,11.6,11.4,12.4,12.5,12.2,12.1
Rhode Island,2015,6.5,6.3,6.3,6.1,5.9,5.9,5.8,5.6,5.4,5.3,5.2,5.1,5.8
South Carolina,2015,6.6,6.6,6.7,6.7,6.8,6.6,6.4,6.0,5.7,5.6,5.5,5.5,6.2
South Dakota,2015,3.4,3.4,3.5,3.6,3.8,3.8,3.8,3.7,3.5,3.2,3.0,2.9,3.5
Tennessee,2015,6.7,6.6,6.3,6.0,5.8,5.7,5.7,5.7,5.7,5.6,5.6,5.6,5.9
Texas,2015,4.4,4.3,4.2,4.2,4.3,4.2,4.2,4.1,4.2,4.4,4.6,4.7,4.3
Utah,2015,3.4,3.4,3.4,3.4,3.5,3.5,3.6,3.7,3.6,3.6,3.5,3.5,3.5
Vermont,2015,4.1,3.9,3.8,3.6,3.6,3.6,3.6,3.6,3.7,3.7,3.7,3.6,3.7
Virginia,2015,4.7,4.7,4.8,4.8,4.9,4.9,4.8,4.5,4.3,4.2,4.2,4.2,4.6
Washington,2015,6.4,6.3,5.9,5.5,5.4,5.3,5.3,5.3,5.2,5.2,5.3,5.5,5.6
West Virginia,2015,5.9,6.1,6.6,7.0,7.2,7.4,7.5,7.6,7.3,6.9,6.5,6.3,6.9
Wisconsin,2015,5.0,4.8,4.6,4.4,4.6,4.6,4.6,4.5,4.3,4.3,4.2,4.3,4.5
Wyoming,2015,4.0,4.0,4.1,4.1,4.1,4.1,4.1,4.0,4.0,4.0,4.1,4.3,4.1
